pid;nome;status
4692;gvfsd-network;sleeping
4711;gvfsd-dnssd;sleeping
5017;chrome;sleeping
5023;cat;sleeping
5024;cat;sleeping
5028;chrome_crashpad_handler;sleeping
5030;chrome_crashpad_handler;sleeping
5036;chrome;sleeping
5037;chrome;sleeping
5039;chrome;sleeping
5050;Xwayland;sleeping
5060;gsd-xsettings;sleeping
5084;ibus-x11;sleeping
5089;mutter-x11-frames;sleeping
5124;chrome;sleeping
5129;chrome;sleeping
5137;chrome;sleeping
5257;chrome;sleeping
5286;chrome;sleeping
6321;psimon;sleeping
7415;gvfsd-recent;sleeping
7445;chrome;sleeping
7692;rstudio;sleeping
7698;rstudio;sleeping
7699;chrome-sandbox;sleeping
7700;rstudio;sleeping
7702;rstudio;sleeping
7754;rsession;sleeping
7761;rstudio;sleeping
7789;rstudio;sleeping
7849;rstudio;sleeping
8166;fwupd;sleeping
8285;chrome;sleeping
8407;chrome;sleeping
8913;kworker/3:2-events_freezable;idle
9258;code;sleeping
9260;code;sleeping
9261;code;sleeping
9279;chrome_crashpad_handler;sleeping
9321;code;sleeping
9356;code;sleeping
9374;code;sleeping
9391;code;sleeping
9392;code;sleeping
9412;code;sleeping
9450;code;sleeping
9489;pet;sleeping
9562;code;sleeping
9578;bash;sleeping
9881;code;sleeping
10061;irq/131-mei_me;sleeping
10069;kworker/u16:25-kvfree_rcu_reclaim;idle
10070;kworker/u16:26-events_unbound;idle
10298;gjs;sleeping
10935;bash;sleeping
11216;kworker/1:0-cgroup_destroy;idle
12535;bash;sleeping
12552;python3;sleeping
12603;kworker/u16:1-flush-8:0;idle
12694;kworker/u17:1-i915_flip;idle
12787;kworker/2:0;idle
13310;kworker/0:1-i915-unordered;idle
13446;kworker/u17:2;idle
13626;chrome;sleeping
13704;kworker/0:2;idle
13705;kworker/u16:0-flush-8:0;idle
13863;kworker/3:0;idle
13864;kworker/1:2-events;idle
13998;chrome;sleeping
14015;kworker/1:1;idle
14138;python3;running
