user;timestamp;cpu;ram;disco;swap
Guilherme;2025-08-25 13:03:47;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:48;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:49;1.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:50;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:51;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:52;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:53;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:54;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:55;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:56;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:57;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:58;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:59;1.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:00;2.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:01;9.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:02;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:03;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:04;0.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:05;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:06;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:07;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:08;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:09;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:10;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:11;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:12;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:13;3.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:14;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:15;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:16;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:17;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:18;1.2;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:19;1.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:20;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:21;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:22;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:23;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:24;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:25;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:26;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:27;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:28;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:29;1.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:30;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:31;1.2;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:32;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:33;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:34;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:35;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:36;16.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:37;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:38;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:39;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:40;1.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:41;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:42;11.1;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:43;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:44;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:45;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:46;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:47;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:48;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:49;1.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:50;0.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:51;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:52;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:53;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:54;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:55;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:56;0.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:57;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:58;6.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:04:59;2.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:00;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:01;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:02;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:03;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:04;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:05;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:06;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:07;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:08;0.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:09;2.4;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:10;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:11;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:12;6.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:13;1.7;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:14;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:15;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:16;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:17;3.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:18;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:19;1.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:20;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:21;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:22;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:23;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:24;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:25;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:26;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:27;1.2;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:28;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:29;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:30;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:31;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:32;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:33;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:34;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:35;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:36;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:37;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:38;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:39;2.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:40;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:41;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:42;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:43;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:44;5.5;4.0;144.2;4.3
